Country,Very important,Rather important,Not very important,Not at all important,NA,DK,(N),xpos,ypos
Argentina,48.6,35.1,14.3,1.8,0,0.2,02.19,80,100
Australia,62.6,32.9,3.8,0.2,0,0.4,02.48,80,100
Chile,27.6,36.1,30.4,4.8,0,1,1,80,100
China,29.3,54.9,12.9,1,0,1.9,1.5,80,100
Taiwan,29,58.6,11.3,0.4,0,0.8,780,80,100
Colombia,25.1,65.3,9.3,0,0,0.3,03.29,80,100
India,37.5,40,18.6,3,0,0.8,02.04,80,100
Japan,48.1,46.5,4,0.3,0,1.1,01.54,80,100
South Korea,45.2,50.6,3,0.3,0.2,0.6,05.09,80,100
Mexico,28.9,38.7,28.1,3.6,0,0.7,01.51,80,100
Moldova,21.2,50.6,24.3,3.2,0,0.7,984,80,100
New Zealand,55.4,36.9,4.4,0.1,3.2,0.1,04.21,80,100
Nigeria,53,36.7,9.1,0.9,0,0.3,17.36,80,100
Pakistan,25.1,33.7,30.2,4.3,0,6.8,733,80,100
Peru,21.9,36.3,35.8,4.1,0,2,04.31,80,100
Philippines,39,48.8,10.6,1.5,0,0.1,1.2,80,100
Poland,26,58.3,14.3,1,0,0.3,03.33,80,100
Romania,20.7,47.2,28.2,3.4,0,0.5,04.59,80,100
Russia,29.2,49.6,19.3,1.5,0,0.4,02.04,80,100
Slovenia,41,46.1,12.1,0.5,0,0.3,01.07,80,100
South Africa,27,35.4,24.6,12.3,0,0.7,17.35,80,100
Spain,40.7,49.2,8.3,1.3,0,0.4,04.31,80,100
Sweden,69.9,28.2,1.6,0.3,0,0,01.09,80,100
Turkey,71.2,26.7,1.6,0.2,0,0.2,16.07,80,100
Ukraine,34.1,52.6,9.1,1.6,0,2.6,15.31,80,100
United States,69.4,26.4,3.8,0.3,0,0.2,10.02,80,100
Uruguay,57.6,29.9,10.3,1.6,0,0.7,1,80,100
Serbia,48.3,45.2,5.6,0.7,0,0.2,01.28,80,100
