Country,Very good,Good,Fair,Poor,Very poor,NA,DK,xpos,ypos
Argentina,20.4,40.6,27.9,9.6,0.6,0,0.9,80,100
Australia,36.4,43.2,15.6,3.6,1.2,0,0,80,100
Chile,15.8,45.2,31.8,6.2,0.8,0,0.1,80,100
China,35.8,32.2,25.9,5.1,0.9,0,0,80,100
Taiwan,21,26.5,41.8,9.2,1.4,0,0,80,100
India,17.7,39.3,35.1,5.9,1.4,0,0.6,80,100
Japan,14.4,39.5,38,6.6,1.1,0,0.4,80,100
South Korea,14.8,64.5,19.3,1.3,0,0,0.1,80,100
Mexico,17.8,40.7,32.3,7,1.4,0,0.8,80,100
Moldova,3.3,28.4,42.9,19.3,6.1,0,0.1,80,100
New Zealand,36.5,42,17.4,2.6,1.2,0.2,0.1,80,100
Nigeria,36.1,38.5,21.1,2.4,1.6,0.3,0.1,80,100
Pakistan,23.5,39.9,23.1,12.5,1,0,0,80,100
Peru,10.2,40.2,46.7,2.4,0.2,0,0.3,80,100
Philippines,16.7,35.2,42.7,4.7,0.8,0,0,80,100
Poland,12.1,28.6,38,13.2,8,0,0.2,80,100
Romania,15,37.9,35.8,9.4,1.7,0,0.2,80,100
Russia,2.4,23.5,50.6,18.6,4.7,0,0.2,80,100
Slovenia,13.2,32.5,34.7,16.7,3,0,0,80,100
South Africa,34.2,33.8,21.7,7.5,2.7,0,0.2,80,100
Spain,18.1,52.2,23.5,5,1.2,0,0.2,80,100
Sweden,39.2,37.2,17.9,5,0,0,0.7,80,100
Turkey,18.2,42.6,31.1,7.3,0.8,0,0.1,80,100
Ukraine,2.9,23.7,49.4,19,4.3,0,0.7,80,100
United States,40.2,39,16.7,3.3,0.5,0,0.3,80,100
Uruguay,21.1,55.5,20.7,2,0.5,0,0.2,80,100
Serbia,15.9,35.6,33.5,12,2.8,0,0.2,80,100


