Country,Very important,Rather important,Not very important,Not at all important,NA,DK,(N),xpos,ypos
Argentina,26.4,49.3,20,3.3,0,0.9,02.19,80,100
Australia,44.4,44.4,9.8,0.6,0,0.8,02.48,80,100
Chile,42,43.6,10.7,1.8,0,2,1,80,100
China,10.7,43.9,36.6,6,0,2.9,1.5,80,100
Taiwan,25.8,51.8,20.8,1,0,0.6,780,80,100
Colombia,29.6,61.3,8.8,0,0,0.3,03.29,80,100
India,11.1,24.9,40.1,21.9,0,2,02.04,80,100
Japan,39.8,49.1,8.8,0.6,0,1.7,01.54,80,100
South Korea,22.7,62.8,12.4,1.3,0.2,0.6,05.09,80,100
Mexico,35.5,36.5,23,3.6,0,1.4,01.51,80,100
Moldova,22.3,45.9,22.8,7.3,0,1.7,984,80,100
New Zealand,45,43.5,6.6,0.7,4.2,0.1,04.21,80,100
Nigeria,50.4,32.2,13.8,2.5,0,1.1,17.36,80,100
Pakistan,12.5,26.5,34,21.8,0,5.2,733,80,100
Peru,28.5,38,25.9,4.3,0,3.3,04.31,80,100
Philippines,14.2,41.4,35.6,8.5,0,0.2,1.2,80,100
Poland,23,54.9,16.7,2.4,0,3,03.33,80,100
Romania,27,45.4,21.1,5.1,0,1.4,04.59,80,100
Russia,25.8,44.5,24.4,3.8,0,1.6,02.04,80,100
Slovenia,33.3,44.4,19.1,2.7,0,0.6,01.07,80,100
South Africa,31.5,39.7,19.6,7.7,0,1.5,17.35,80,100
Spain,30.2,52,15.4,1.4,0,1,04.31,80,100
Sweden,51.4,43,4.4,0.7,0,0.5,01.09,80,100
Turkey,40.1,38.3,16.6,3.3,0,1.6,16.07,80,100
Ukraine,24.8,44.3,19.7,5.8,0,5.4,15.31,80,100
United States,42.3,45.7,10.7,0.8,0,0.5,10.02,80,100
Uruguay,46.4,41.3,9,1.5,0,1.8,1,80,100
Serbia,25.9,45.6,24.2,3,0,1.2,01.28,80,100
