Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,10.1,20.5,31.7,36.7,0,0.9,80,100
Australia,15,34.4,35.8,14,0,0.8,80,100
Chile,6.9,13,35,42.8,0,2.3,80,100
China,23.7,35.3,27.4,7.4,0,6.2,80,100
Taiwan,10.9,31,42.4,10.6,0.1,4.9,80,100
Colombia,6.4,31.9,60.2,0,0,1.5,80,100
India,10.9,21.8,33.5,30.6,0,3.1,80,100
Japan,18.3,42.8,29.3,3.4,0,6.2,80,100
South Korea,19.2,45.6,28.2,5.8,0.2,1,80,100
Mexico,17.2,27.3,35.4,18.3,0,1.9,80,100
Moldova,6.6,21.1,42.7,27,0,2.5,80,100
New Zealand,7,34.7,41.1,11.7,4.2,1.3,80,100
Nigeria,21.4,21.4,31.3,23.3,0,2.7,80,100
Pakistan,7.7,12.4,19,56.3,0,4.6,80,100
Peru,13.1,22.7,36.4,22.1,0,5.6,80,100
Philippines,14.6,34,31.1,19.4,0,0.9,80,100
Poland,6.9,23.2,37.4,30.4,0,2.1,80,100
Romania,6.9,17.6,37.3,36.5,0,1.7,80,100
Russia,8.1,19.5,42.7,28.9,0,0.8,80,100
Slovenia,2.9,11.9,47.2,37.5,0,0.5,80,100
South Africa,18.7,25.3,26.4,26.2,0,3.4,80,100
Spain,7.8,15.3,32.1,42.7,0,2.1,80,100
Sweden,11,36.2,41,11.6,0,0.2,80,100
Turkey,24.2,27.4,23.4,24.2,0,0.8,80,100
Ukraine,6.4,21.9,39.2,26.9,0,5.6,80,100
United States,17.8,40.4,31.9,8.8,0,1,80,100
Uruguay,13.8,21.7,31.4,31.2,0,1.9,80,100
Serbia,7.3,16.6,42,32.1,0,2,80,100
