Country,Very important,Rather important,Not very important,Not at all important,NA,DK,(N),xpos,ypos
Argentina,70.3,26.4,2.3,0.9,0,0,02.19,80,100
Australia,50.8,35.4,8.9,4,0,1,02.48,80,100
Chile,64.3,27.8,4.7,0.9,0,2.3,1,80,100
China,63.9,27.3,5.6,1,0,2.1,1.5,80,100
Taiwan,44.4,45.8,8.1,1.2,0.1,0.5,780,80,100
Colombia,67,31.8,1.2,0,0,0.1,03.29,80,100
India,82.4,14.8,1.6,0.6,0,0.6,02.04,80,100
Japan,53.5,34,7.8,1.6,0,3.1,01.54,80,100
South Korea,57.5,33.6,6,1.7,0.2,1,05.09,80,100
Mexico,63.4,28.2,6,0.9,0,1.5,01.51,80,100
Moldova,52,32.9,7.1,5.7,0,2.2,984,80,100
New Zealand,45,40.6,6,3,4.9,0.4,04.21,80,100
Nigeria,86.9,10.3,1.3,1.1,0,0.4,17.36,80,100
Pakistan,67.7,24.7,5.9,1,0,0.6,733,80,100
Peru,72.8,22.8,1.2,0.5,0,2.7,04.31,80,100
Philippines,83,14.7,1.5,0.7,0,0.2,1.2,80,100
Poland,63.3,30.4,3.1,2.3,0,0.9,03.33,80,100
Romania,58.8,34.6,5.3,0.9,0,0.3,04.59,80,100
Russia,48.6,34.1,9.4,6.4,0,1.4,02.04,80,100
Slovenia,54.9,39,5.1,1,0,0,01.07,80,100
South Africa,79.5,13.6,3.4,2.2,0,1.3,17.35,80,100
Spain,59.1,30.6,6.8,3.1,0,0.3,04.31,80,100
Sweden,64.6,29.2,2.9,2.1,0,1.2,01.09,80,100
Turkey,76,18.7,3.3,1.1,0,0.8,16.07,80,100
Ukraine,47.2,35.5,8.4,4.7,0,4.3,15.31,80,100
United States,55.2,30.5,8.1,5.5,0,0.8,10.02,80,100
Uruguay,70.3,24.5,3,1.3,0,0.8,1,80,100
Serbia,62.9,28.2,6.7,1.1,0,1.1,01.28,80,100
