Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,90.2,8.4,1,0.3,0,0.1,80,100
Chile,96.4,2.8,0.5,0.3,0,0,80,100
China,60.2,36.2,2.7,0.1,0,0.8,80,100
India,91.9,6,1.2,0.1,0,0.7,80,100
Japan,91.3,6.4,0.7,0.1,0,1.5,80,100
South Korea,89.6,10,0.4,0,0,0,80,100
Mexico,96.6,2.2,0.8,0.2,0,0.1,80,100
Moldova,85,12.1,1.7,0.3,0,0.9,80,100
Nigeria,98.9,0.9,0.1,0,0,0,80,100
Pakistan,92.6,6.4,1,0.2,0,0,80,100
Peru,82.4,16.7,0.7,0.1,0,0.1,80,100
Philippines,98.6,1.3,0.1,0,0,0,80,100
South Africa,95.2,3,1.7,0.1,0,0,80,100
Spain,85.4,13.4,0.9,0.2,0,0.2,80,100
Sweden,89.4,8.5,1.8,0.2,0,0.1,80,100
Turkey,97.3,2.1,0.3,0.2,0.1,0,80,100
Egypt,96.4,3.3,0.2,0.1,0,0,80,100
United States,95.3,3.8,0.4,0.4,0,0.1,80,100
Serbia,92,7.1,0.8,0.1,0,0.1,80,100
