Country,Very happy,Quite happy,Not very happy,Not at all happy,NA,DK,xpos,ypos
Argentina,33,48.4,15.5,2.4,0,0.7,80,100
Chile,36,43.9,18.9,0.6,0,0.6,80,100
China,11.5,66.3,19,2.8,0.4,0,80,100
India,25.3,47.6,20.9,4.5,0,1.7,80,100
Japan,27.8,58.7,9.9,0.6,0,3,80,100
South Korea,9.6,78.1,10.7,1.7,0,0,80,100
Mexico,56.5,34.5,7.2,1,0,0.8,80,100
Moldova,6,43.4,43.6,4.1,0,2.9,80,100
Nigeria,66.8,25,7.3,0.9,0,0,80,100
Pakistan,19.6,56,20.5,2.6,0,1.3,80,100
Peru,30.8,35.3,32.1,1.6,0,0.2,80,100
Philippines,38.4,49.2,11.7,0.6,0,0.1,80,100
South Africa,38.5,38.8,18.4,4.2,0,0.1,80,100
Spain,20.1,66.9,11,1.4,0,0.6,80,100
Sweden,36.6,56.8,4.8,1.5,0,0.3,80,100
Turkey,34.5,42.5,14,8.9,0,0.1,80,100
Egypt,18.1,71.3,8.8,1.6,0,0.2,80,100
United States,39,54,5.8,0.5,0,0.7,80,100
Serbia,12,61.5,20.8,3.8,0,1.9,80,100
