Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,35.1,41.7,17.4,3.9,0,1.9,80,100
Chile,53.3,34.4,8.8,2.4,0,1.2,80,100
China,7.1,41.7,43.9,4.1,3.2,0,80,100
India,27.7,33.6,24.9,10.5,0,3.3,80,100
Japan,42.3,46,8.1,0.1,0,3.5,80,100
South Korea,23.8,60.9,13.5,1.8,0,0,80,100
Mexico,49.7,32.4,12.4,3.3,0,2.2,80,100
Moldova,24.2,43.5,25.9,3.5,0,3,80,100
Nigeria,51.7,32.3,12.7,3,0,0.2,80,100
Pakistan,4.9,30,42.4,18.6,0,4.2,80,100
Peru,22.8,28.4,35.2,12.8,0,0.7,80,100
Philippines,15.3,41.5,36.9,6.3,0,0,80,100
South Africa,35.4,42.9,17.6,3.6,0,0.6,80,100
Spain,38.2,48.5,11.6,0.9,0,0.8,80,100
Sweden,53.9,39.6,5.7,0.4,0,0.3,80,100
Turkey,40.8,35.1,16.7,6.3,1.2,0,80,100
Egypt,9.1,45.5,35.5,9.3,0,0.6,80,100
United States,42.5,48.2,8.8,0.4,0,0.2,80,100
Serbia,30.4,45.8,19.8,2.3,0,1.6,80,100
