Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,73.4,22.2,2.6,1.2,0,0.7,80,100
Chile,74.8,19.5,2.9,1.4,0,1.4,80,100
China,49,42.5,6,1.1,1.4,0,80,100
India,76.5,17.5,2.9,1.5,0,1.5,80,100
Japan,46.6,37.6,9,1.8,0,4.9,80,100
South Korea,62.3,30.5,5.1,2.1,0,0.1,80,100
Mexico,86.1,10.1,1.9,1,0,0.9,80,100
Moldova,40.1,34.7,12.9,5.3,0,6.9,80,100
Nigeria,88.2,8.2,1.9,1.3,0,0.4,80,100
Pakistan,60.3,32.6,4.8,1.6,0,0.6,80,100
Peru,68.2,29.2,1.9,0,0,0.7,80,100
Philippines,93.4,5.6,0.7,0.3,0,0,80,100
South Africa,79.3,13.3,5.1,1.5,0,0.8,80,100
Spain,55.5,33.9,6.3,3.7,0,0.7,80,100
Sweden,54.1,36.5,5.6,3.3,0,0.6,80,100
Turkey,69.8,18.3,5.7,5.5,0.8,0,80,100
Egypt,71.5,18.7,7.7,1.5,0,0.6,80,100
United States,53.6,35.8,7,3.3,0,0.3,80,100
Serbia,53.8,35.3,6.6,2.6,0,1.7,80,100
