Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,59.4,25.9,11.8,2.3,0.3,0.2,80,100
Australia,57.6,36.2,4.7,0.1,1.3,0,80,100
Chile,23.6,35.8,29.4,10.4,0.4,0.3,80,100
China,30.3,52.6,12.7,0.5,0.3,3.5,80,100
Taiwan,39.5,52.8,7.4,0.3,0,0,80,100
Georgia,78.1,20,1.5,0.2,0,0.3,80,100
India,42.3,41.1,11.5,2.8,0,2.2,80,100
Japan,44.9,47.9,5.3,0.2,1.7,0,80,100
South Korea,44.5,49.3,6.1,0.1,0,0,80,100
Mexico,36.1,42.4,17.1,3.9,0.3,0.2,80,100
Moldova,23.1,52.5,21.7,2.5,0,0.2,80,100
New Zealand,54.9,37.9,4.1,0.4,2.5,0.1,80,100
Peru,21.9,30.7,43.4,3.3,0.7,0,80,100
Poland,34.7,58,6.6,0.4,0,0.3,80,100
Romania,24.1,46.7,22.6,4,1.5,1.1,80,100
Russia,37.4,51.1,8.7,1.3,0.5,0.9,80,100
Slovenia,51.1,39,8.9,0.8,0.2,0.1,80,100
South Africa,33.9,39.4,17.8,8.7,0,0.2,80,100
Spain,49.3,44.8,5.1,0.6,0,0,80,100
Sweden,71.3,26.7,1.9,0.1,0,0,80,100
Turkey,61.8,35.5,1.9,0.8,0,0,80,100
Ukraine,37.5,46,12.7,2.8,0.4,0.7,80,100
Egypt,43.2,46.7,8.3,1.8,0.1,0,80,100
United States,59.6,35.3,4.2,0.6,0.3,0,80,100
Uruguay,51.5,33,10.8,4,0.7,0,80,100
Serbia,55.2,39.3,4.4,0.3,0,0.7,80,100
