Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,88.9,10.2,0.4,0.3,0.2,0,80,100
Australia,92.5,6.1,0.6,0.2,0.5,0,80,100
Chile,91.7,7.1,1,0.2,0,0,80,100
China,85.7,12.8,0.5,0.1,0.7,0.3,80,100
Taiwan,90.9,7.9,0.6,0.1,0,0.5,80,100
Colombia,85.1,14.4,0.3,0.2,0,0,80,100
Georgia,98.4,1.5,0.1,0,0,0,80,100
India,94.9,4.3,0.3,0,0,0.4,80,100
Japan,90.8,6.8,0.6,0.2,0,1.6,80,100
South Korea,91.3,7.6,0.5,0.3,0.2,0,80,100
Mexico,97.6,1.7,0.8,0,0,0,80,100
New Zealand,92.9,4.9,0.7,0,1.5,0,80,100
Nigeria,98.4,1.3,0.2,0,0,0,80,100
Pakistan,94,5.6,0.3,0,0.1,0,80,100
Peru,85.3,14.1,0.7,0,0,0,80,100
Philippines,98.8,1.1,0.1,0,0,0,80,100
Poland,92.1,6.4,0.3,0.3,0.2,0.6,80,100
Romania,93.1,5.5,1.1,0.2,0.1,0.1,80,100
Russia,85,12.7,1.3,0.5,0.2,0.1,80,100
Slovenia,88.7,10.1,0.6,0.2,0.2,0.3,80,100
South Africa,92.5,6,1.1,0.2,0,0.2,80,100
Spain,91.1,8.4,0.2,0.2,0.1,0,80,100
Sweden,89.2,9,1.3,0.2,0,0,80,100
Turkey,95.4,4.3,0.1,0.1,0,0.1,80,100
Ukraine,92,6.6,1.3,0.1,0,0,80,100
Egypt,97.4,2.2,0.5,0,0,0,80,100
United States,90.9,7.3,0.8,0.6,0.4,0,80,100
Uruguay,88.7,9.9,0.6,0.7,0,0.1,80,100
