Country,Very good,Good,Fair,Poor,NA,DK,xpos,ypos
Argentina,28.5,46.4,19.9,4.8,0.3,0.1,80,100
Australia,31.6,46.2,18.5,3.1,0.7,0,80,100
Chile,19,53.7,23.8,3.4,0.1,0,80,100
China,23.6,45.1,24.7,6.1,0.5,0,80,100
Taiwan,27.4,58.9,10.8,2.7,0,0.2,80,100
Colombia,26.1,49.9,22.2,1.7,0,0.1,80,100
Georgia,13.6,29,37.4,20,0,0,80,100
India,26.5,45.3,20.6,7.3,0,0.2,80,100
Japan,13.3,37.9,37.5,9.6,0,1.7,80,100
South Korea,14.9,65.2,17.6,0.9,1.4,0,80,100
Mexico,26.1,46.6,25,2.2,0,0,80,100
New Zealand,35.2,45.2,15.3,2.7,1.4,0.1,80,100
Nigeria,55,35.8,7.3,1.8,0,0,80,100
Pakistan,36.1,43.2,15.7,4.6,0.4,0.1,80,100
Peru,13.2,41.1,41.8,3.6,0.1,0.2,80,100
Philippines,17.7,38.8,38.3,5.1,0,0,80,100
Poland,20.9,40.4,28.5,10.3,0,0,80,100
Romania,15.4,49.7,25.9,8.9,0.1,0,80,100
Russia,5.1,39,44.5,10.6,0.1,0.4,80,100
Slovenia,22.3,42.8,22.9,12,0,0,80,100
South Africa,41.8,42,11.9,4.3,0,0,80,100
Spain,20.3,53.9,20.6,5,0.1,0.1,80,100
Sweden,30.8,44.8,21,3.3,0.1,0.1,80,100
Turkey,18.8,47.6,25.5,5.6,1.5,1,80,100
Ukraine,6,31.2,45.5,16.6,0.1,0.6,80,100
Egypt,14.3,45,25,15.7,0,0,80,100
United States,27.8,52.1,16.1,3.3,0.7,0,80,100
Uruguay,25.8,54.6,16.4,3.1,0.1,0,80,100
