Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,33.7,43,18.7,3.9,0.6,0,80,100
Australia,41,48.3,7,0.6,3.1,0,80,100
Chile,56.1,34.1,7.6,1.4,0.4,0.4,80,100
China,21.2,48.6,24.4,1.7,1.3,2.7,80,100
Taiwan,35.5,48.8,12.7,1.2,0.1,1.7,80,100
Colombia,49.4,36.2,12.5,1.7,0,0.1,80,100
Georgia,32.4,40.8,19.4,7.3,0,0.1,80,100
India,34.9,35.2,19.1,9,0,1.8,80,100
Japan,42.3,46.1,8.3,0.5,0,2.8,80,100
South Korea,30.8,55.8,10.9,1,1.5,0,80,100
Mexico,59.2,26.6,11.7,2.5,0,0,80,100
New Zealand,47.8,41.3,7,0.1,3.7,0.1,80,100
Nigeria,52.2,33.3,11.9,2.6,0,0,80,100
Pakistan,16.5,37.2,35.6,9.4,0.5,0.9,80,100
Peru,37,36.4,22.5,2.5,1,0.6,80,100
Philippines,11.7,43.3,32.8,11.9,0,0.2,80,100
Poland,35,50.5,11.6,1.2,0,1.6,80,100
Romania,34.1,44.4,17,4,0.2,0.3,80,100
Russia,29.4,45.2,18.5,5.1,0.1,1.1,80,100
Slovenia,41.2,46.2,10.7,1.2,0.7,0,80,100
South Africa,36.1,35.9,18.9,8.2,0,0.9,80,100
Spain,44.8,46.3,7.6,0.3,0.6,0.3,80,100
Sweden,53.6,41.3,3.5,0.5,0.4,0,80,100
Turkey,41.9,43.2,12,1.8,0.2,0.8,80,100
Ukraine,36.9,43.6,15.4,4,0,0,80,100
Egypt,21.1,39.8,30.8,8.3,0,0,80,100
United States,38.9,51.6,8,0.9,0.6,0,80,100
Uruguay,48.9,37.8,10.4,1.6,0.7,0.6,80,100
